name,brand,gender,cotton_pct,category,asin,amazon_url,search_terms,price_band,why_qualifies,reject_notes,status
Russell Athletic Men's Short Sleeve 100% Cotton T-Shirt,Russell Athletic,men,100,tee,B07Y8ZG5DK,https://www.amazon.com/dp/B07Y8ZG5DK,100% cotton gym t-shirt men,see listing,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.5. 100% cotton composition recorded only from product page materials.,,qualify
"Champion Men's Muscle Tank, Classic Graphic Muscle Tee, Sleeveless T-shirt for Men (Reg. Or Big & Tall)",Champion,men,100,tee,B095J713TD,https://www.amazon.com/dp/B095J713TD,100% cotton gym t-shirt men Champion muscle,~$10.28,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.5. 100% cotton composition recorded only from product page materials.,,qualify
"Comfort Colors Adult Short Sleeve Tee, Style G1717",Comfort Colors,unisex,100,tee,B0CVV7XKHB,https://www.amazon.com/dp/B0CVV7XKHB,100% cotton gym t-shirt Comfort Colors,~$11.26,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.5. 100% cotton composition recorded only from product page materials.,,qualify
Otomix Bodybuilding Muscle Workout Rag Top Solid Color No Logo,Otomix,men,100,tee,B019NZJL3O,https://www.amazon.com/dp/B019NZJL3O,100% cotton gym t-shirt men bodybuilding,~$14.90,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 3.4. 100% cotton composition recorded only from product page materials.,,qualify
JustBlanks Mens 100% Cotton Short Sleeve Tee Adult Crew Neck Semi-Fitted Casual Workout Cotton Tee Shirt for Men,JustBlanks,men,100,tee,B09KXS6DPZ,https://www.amazon.com/dp/B09KXS6DPZ,100% cotton workout tee men,~$18.99,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
Amazon Essentials womens Regular-Fit 100% Cotton Short-Sleeve Crewneck T-Shirt (Available in Plus Size),Amazon Essentials,women,100,tee,B09HT5PWT9,https://www.amazon.com/dp/B09HT5PWT9,100% cotton women gym t-shirt,~$21.80,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.3. 100% cotton composition recorded only from product page materials.,,qualify
"Amazon Essentials Women's Classic-Fit 100% Cotton Short-Sleeve V-Neck T-Shirt (Available in Plus Size), Pack of 2",Amazon Essentials,women,100,tee,B0921HS4B4,https://www.amazon.com/dp/B0921HS4B4,100% cotton women workout tee v-neck,~$19.00,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.2. 100% cotton composition recorded only from product page materials.,,qualify
Amazon Essentials Women's Regular Fit 100% Cotton Crewneck Short Sleeve T-Shirt,Amazon Essentials,women,100,tee,B0DDWZ3MSW,https://www.amazon.com/dp/B0DDWZ3MSW,100% cotton women gym t-shirt,~$10.01,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.3. 100% cotton composition recorded only from product page materials.,,qualify
"Champion Men Graphic Lounge Short,Standard Fit,7"" Inseam,Script Logo,Lightweight 100% Cotton Jersy,Available Regular,Big,Tall",Champion,men,100,shorts,B095J7PCQ6,https://www.amazon.com/dp/B095J7PCQ6,100% cotton gym shorts men Champion,~$20.83,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
"Champion Men's 9"" Everyday Cotton Short with Pockets (Retired Colors)",Champion,men,100,shorts,B095JB1N6Q,https://www.amazon.com/dp/B095JB1N6Q,100% cotton gym shorts men 9 inch,~$12.74,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
